"Population estimates, July 1, 2019,  (V2019),","Population estimates base, April 1, 2010,  (V2019),","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019),","Population, Census, April 1, 2010,","Persons under 5 years, percent,","Persons under 18 years, percent,","Persons 65 years and over, percent,","Female persons, percent,","White alone, percent,","Black or African American alone, percent,","American Indian and Alaska Native alone, percent,","Asian alone, percent,","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent,","Hispanic or Latino, percent,","White alone, not Hispanic or Latino, percent,","Veterans, 2014-2018,","Foreign born persons, percent, 2014-2018,","Housing units,  July 1, 2019,  (V2019),","Owner-occupied housing unit rate, 2014-2018,","Median value of owner-occupied housing units, 2014-2018,","Median selected monthly owner costs -with a mortgage, 2014-2018,","Median selected monthly owner costs -without a mortgage, 2014-2018,","Median gross rent, 2014-2018,","Building permits, 2019,","Households, 2014-2018,","Persons per household, 2014-2018,","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018,","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018,","Households with a computer, percent, 2014-2018,","Households with a broadband Internet subscription, percent, 2014-2018,","High school graduate or higher, percent of persons age 25 years+, 2014-2018,","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018,","With a disability, under age 65 years, percent, 2014-2018,","Persons  without health insurance, under age 65 years, percent,","In civilian labor force, total, percent of population age 16 years+, 2014-2018,","In civilian labor force, female, percent of population age 16 years+, 2014-2018,","Total accommodation and food services sales, 2012 ($1,000),","Total health care and social assistance receipts/revenue, 2012 ($1,000),","Total manufacturers shipments, 2012 ($1,000),","Total merchant wholesaler sales, 2012 ($1,000),","Total retail sales, 2012 ($1,000),","Total retail sales per capita, 2012,","Mean travel time to work (minutes), workers age 16 years+, 2014-2018,","Median household income (in 2018 dollars), 2014-2018,","Per capita income in past 12 months (in 2018 dollars), 2014-2018,","Persons in poverty, percent,","Total employer establishments, 2018,","Total employment, 2018,","Total annual payroll, 2018 ($1,000),","Total employment, percent change, 2017-2018,","Total nonemployer establishments, 2018,","All firms, 2012,","Men-owned firms, 2012,","Women-owned firms, 2012,","Minority-owned firms, 2012,","Nonminority-owned firms, 2012,","Veteran-owned firms, 2012,","Nonveteran-owned firms, 2012,","Population per square mile, 2010,","Land area in square miles, 2010,"
"40,595","45,058","-9.9","45,078","5.1","19.3","23.1","50.4","94.8","3.2","0.2","0.7","","1.1","1.1","93.8","2,313","1.0","20,708","75.8","95,300","951","346","654","10","17,042","2.38","89.4","1.4","77.7","70.2","81.2","15.3","15.1","11.6","48.3","42.6","59,632","209,157","297,825","265,734","804,594","18,176","24.8","40,978","23,366","18.2","982","11,721","396,653","-1.7","1,964","2,778","1,562","843","121","2,471","229","2,305","86.9","518.85"
"11,159","12,070","-7.5","12,087","4.0","15.2","18.6","40.4","41.3","56.1","0.6","0.5","","1.6","3.3","38.9","912","2.5","4,837","67.2","126,300","1,161","356","791","40","3,814","2.06","78.9","3.7","77.9","63.6","75.9","12.6","11.6","13.4","36.7","52.6","11,703","","","","112,569","9,403","34.8","45,801","18,363","22.9","190","1,887","62,331","-6.8","461","530","250","253","152","353","","485","24.7","490.22"
"6,422","7,064","-9.1","7,058","4.5","16.6","23.9","50.4","55.2","41.5","0.5","0.5","0.1","2.2","2.7","53.3","675","1.3","3,611","76.8","190,400","1,372","456","923","26","2,760","2.39","92.7","1.4","86.1","64.7","86.4","17.6","11.9","10.1","57.8","56.1","1,606","944","","","14,869","2,173","41.4","54,844","28,688","12.9","84","1,352","124,661","-0.4","392","244","146","59","74","158","","222","25.3","278.95"
"152,882","128,984","18.5","128,961","6.4","25.9","10.7","49.5","70.9","20.0","0.8","3.6","0.2","4.5","14.2","59.3","20,299","9.0","51,376","76.2","334,600","2,156","547","1,543","913","46,328","3.03","83.6","13.8","96.3","92.9","93.7","39.8","5.8","7.8","66.3","62.6","161,438","287,048","171,086","","1,247,882","9,288","40.9","106,773","40,850","5.4","2,345","33,843","1,451,715","1.0","9,954","8,581","4,496","3,285","2,242","6,066","1,355","6,816","479.5","268.96"
"136,215","122,453","11.2","122,397","6.1","24.5","14.7","50.8","75.4","17.5","0.5","2.8","0.2","3.6","10.7","66.6","13,514","7.2","49,599","77.7","276,800","1,754","465","1,435","1,308","43,677","3.00","87.8","10.1","94.1","88.1","90.2","31.5","8.0","10.2","67.5","61.1","190,400","262,529","","341,742","2,160,088","17,187","38.3","85,330","35,794","7.5","2,547","31,821","1,196,715","2.8","9,182","9,151","4,528","3,355","2,026","6,770","1,220","7,301","304.9","401.50"
"68,280","65,191","4.7","65,464","5.3","23.5","16.6","50.9","75.4","13.8","0.5","6.1","0.3","3.9","6.9","70.1","9,544","8.1","28,522","71.8","324,400","1,907","548","1,456","260","24,617","2.69","83.6","11.4","94.6","89.8","94.4","45.4","8.1","7.4","60.6","56.9","269,881","215,765","","79,990","884,399","13,370","22.5","90,367","39,071","5.5","1,497","20,131","735,642","5.1","3,975","4,158","2,024","1,694","859","3,099","701","3,150","624.8","104.78"
"28,684","29,246","-1.9","29,235","5.1","19.8","22.1","51.1","94.6","3.0","0.2","0.6","","1.6","1.4","93.5","2,216","0.5","14,422","76.2","130,800","1,051","302","655","48","11,955","2.40","90.9","1.4","79.0","67.9","86.0","18.5","13.9","11.5","58.5","54.1","78,309","108,639","1,292,873","","905,499","30,956","23.0","48,043","26,513","15.4","680","10,094","344,954","2.8","1,518","2,033","1,188","562","81","1,837","212","1,654","63.3","461.82"
"37,383","41,437","-9.8","41,452","4.6","19.1","19.2","47.9","92.5","5.8","0.2","0.4","","1.1","1.2","91.4","2,248","1.1","17,916","66.0","85,600","970","333","629","7","15,126","2.38","87.9","1.9","80.2","66.0","74.8","14.5","20.4","11.9","44.8","40.8","42,130","125,091","","299,723","500,864","12,241","22.0","38,345","21,828","25.4","663","7,732","245,923","-1.3","1,510","2,086","1,016","633","29","1,961","274","1,709","102.8","403.19"
"18,015","17,460","3.2","17,454","5.4","19.1","25.6","51.2","69.2","26.1","0.8","0.9","0.1","2.9","6.9","63.8","1,909","4.0","11,060","74.5","210,900","1,475","479","1,009","99","7,612","2.30","88.7","6.3","84.9","74.4","86.1","20.3","8.6","12.5","56.4","53.9","","13,215","167,041","31,224","109,793","6,265","41.0","54,268","32,637","16.4","310","2,516","70,647","1.4","1,204","1,250","680","464","216","996","256","907","76.1","229.38"
"53,740","54,961","-2.2","54,876","4.3","18.0","23.6","50.7","96.7","1.5","0.2","0.5","0.1","0.9","1.6","95.3","3,806","1.5","26,018","75.2","141,300","1,080","345","684","63","22,331","2.36","86.5","2.0","82.7","74.1","85.0","22.5","14.8","11.5","55.7","53.2","","258,351","1,095,566","","820,491","14,867","24.6","46,262","26,085","15.2","1,140","17,675","685,205","0.3","3,428","4,551","2,722","1,204","189","4,124","542","3,669","97.8","560.98"
